n,m,sparsiness,number,p,time,name
100,100,99,0,0.5,0.010714530944824219,sparse
500,2500,99,4,0.5,0.47358107566833496,sparse
200,2000,95,0,0.5,0.12183666229248047,sparse
300,9000,95,3,0.5,0.4664289951324463,sparseextra
50,125,95,4,0.5,0.007734775543212891,sparse
50,775,99,0,0.5,0.007903099060058594,sparseextra
300,7200,97,0,0.5,0.4964909553527832,sparseextra
200,1200,97,1,0.5,0.0793616771697998,sparse
100,2500,75,1,0.5,0.04301118850708008,density
500,2500,99,1,0.5,0.4816570281982422,sparse
300,900,99,3,0.5,0.11992931365966797,sparse
100,2000,95,0,0.5,0.05947995185852051,sparseextra
200,3400,99,2,0.5,0.10693025588989258,sparseextra
50,75,97,0,0.5,0.007318258285522461,sparse
500,10000,99,0,0.5,1.0154404640197754,sparseextra
50,75,97,2,0.5,0.007023811340332031,sparse
300,5400,99,1,0.5,0.2683737277984619,sparseextra
500,2500,99,2,0.5,0.4907569885253906,sparse
300,4500,95,4,0.5,0.31924939155578613,sparse
300,7200,97,4,0.5,0.4770822525024414,sparseextra
500,7500,97,2,0.5,0.9227519035339355,sparse
1000,65000,95,3,0.5,16.566301584243774,sparseextra
100,2000,95,2,0.5,0.035674333572387695,sparseextra
200,4200,97,1,0.5,0.14613914489746094,sparseextra
50,875,95,1,0.5,0.014981985092163086,sparseextra
200,4200,97,4,0.5,0.15651774406433105,sparseextra
200,5000,95,4,0.5,0.2093825340270996,sparseextra
100,5000,50,1,0.5,0.061017513275146484,density
50,875,95,4,0.5,0.009238481521606445,sparseextra
50,125,95,1,0.5,0.009432077407836914,sparse
300,22500,75,4,0.5,0.6279938220977783,density
1000,25000,99,0,0.5,4.975829362869263,sparseextra
200,400,99,1,0.5,0.04114961624145508,sparse
200,400,99,0,0.5,0.06717467308044434,sparse
50,775,99,4,0.5,0.015198469161987305,sparseextra
500,15000,97,2,0.5,1.1563935279846191,sparseextra
100,100,99,4,0.5,0.010483264923095703,sparse
100,2000,95,4,0.5,0.03394603729248047,sparseextra
500,20000,95,0,0.5,1.893493890762329,sparseextra
300,900,99,0,0.5,0.1218726634979248,sparse
500,20000,95,1,0.5,1.949195384979248,sparseextra
1000,25000,99,2,0.5,4.863690376281738,sparseextra
50,25,99,2,0.5,0.007940292358398438,sparse
300,22500,75,1,0.5,0.6260333061218262,density
